,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
2943,67,143,139.92,0.12,0.125,0.044,-0.017,0.5610000000000088,2.5820000000000114,16.789,36.01800000000003,True
2944,67,144,146.2,-0.06,0.127,0.042,-0.024,1.7909999999999986,2.3520000000000074,16.939000000000007,36.59800000000001,True
2945,67,145,153.97,-0.16,0.13,0.04,-0.028,0.3009999999999895,2.091999999999988,17.358999999999995,37.00800000000001,True
2946,67,146,160.52,-0.27,0.131,0.037,-0.025,1.5209999999999884,1.8219999999999779,17.379000000000005,37.46799999999999,True
2947,67,147,168.47,-0.36,0.134,0.035,-0.029,0.1210000000000111,1.6419999999999995,17.80900000000001,37.908000000000015,True
2948,67,148,175.25,-0.42,0.138,0.033,-0.03,1.2909999999999986,1.4120000000000097,17.828999999999994,38.337999999999994,True
2949,67,149,183.43,-0.46,0.142,0.03,-0.031,-0.10900000000000709,1.1819999999999915,18.229,38.75800000000001,False
2950,67,150,190.45,-0.45,0.146,0.028,-0.032,1.051000000000018,0.9420000000000108,18.24900000000001,39.138000000000005,True
2951,67,151,198.81,-0.48,0.145,0.026,-0.032,-0.2890000000000139,0.762000000000004,18.648999999999987,39.53800000000001,False
2952,67,152,206.02,-0.45,0.147,0.021,-0.032,0.8609999999999918,0.5719999999999779,18.668999999999997,39.96799999999999,True
2953,67,153,214.66,-0.37,0.148,0.013,-0.032,-0.5689999999999866,0.29200000000000514,18.98900000000002,40.28800000000001,False
2954,67,154,222.12,-0.26,0.149,0.005,-0.028,0.6109999999999918,0.042000000000005144,19.088999999999984,40.69800000000001,True
2955,67,155,230.96,-0.12,0.152,-0.003,-0.027,-0.7690000000000037,-0.1580000000000119,19.358999999999995,40.94799999999998,False
2956,67,156,238.59,-0.01,0.15,-0.009,-0.024,0.4410000000000043,-0.3279999999999994,19.46900000000001,41.44799999999998,False
2957,67,157,247.62,0.14,0.148,-0.014,-0.022,-0.9590000000000014,-0.5179999999999971,19.73899999999999,41.69800000000001,False
2958,67,158,255.43,0.28,0.146,-0.02,-0.018,0.26099999999999746,-0.698000000000004,19.818999999999974,42.087999999999994,False
2959,67,159,264.62,0.45,0.143,-0.026,-0.015,-1.118999999999998,-0.8580000000000005,20.058999999999983,42.36800000000002,False
2960,67,160,272.57,0.56,0.142,-0.03,-0.013,0.1210000000000111,-0.9979999999999869,20.118999999999986,42.80800000000002,False
2961,67,161,281.88,0.7,0.138,-0.034,-0.011,-1.2390000000000025,-1.1179999999999914,20.459000000000017,43.178000000000026,False
2962,68,73,-23.95,-1.27,0.184,-0.035,-0.015,11.270999999999999,25.101999999999997,0.5789999999999988,-0.12199999999999989,False
2963,68,74,-29.13,-0.88,0.178,-0.037,-0.007,13.251,24.522,1.1489999999999956,0.49799999999999756,True
2964,68,75,-31.8,-0.51,0.174,-0.036,-0.006,10.741000000000001,23.992,1.1890000000000018,1.0579999999999998,True
2965,68,76,-36.5,-0.19,0.17,-0.03,-0.005,12.770999999999999,23.512,1.7390000000000025,1.458000000000002,True
2966,68,77,-39.21,-0.38,-0.112,-0.011,0.021,10.781,23.552,1.7289999999999974,2.0680000000000014,True
2967,68,78,-44.04,-0.72,-0.096,-0.02,0.017,12.900999999999998,23.682,2.2090000000000014,2.527999999999995,True
2968,68,79,-46.5,-1.16,-0.075,-0.029,0.006,10.531,23.432,2.2090000000000014,3.007999999999999,True
2969,68,80,-51.3,-1.98,0.03,-0.02,0.007,12.870999999999997,23.401999999999997,2.6889999999999983,3.497999999999994,True
2970,68,81,-53.8,-2.94,0.014,-0.009,0.003,10.571,23.441999999999997,2.6790000000000003,3.9279999999999937,True
2971,68,82,-58.52,-4.18,0.004,0.0,0.0,12.791000000000006,23.362000000000005,3.2189999999999994,4.507999999999999,True
2972,68,83,-58.57,-3.16,0.015,0.012,0.004,8.120999999999997,20.912000000000003,3.2589999999999986,5.0980000000000025,True
2973,68,84,-60.8,-2.37,0.028,0.021,0.004,10.300999999999997,18.421999999999993,3.8089999999999957,5.69799999999999,True
2974,68,85,-60.7,-1.64,0.04,0.021,0.0,7.971000000000005,18.272000000000002,3.849000000000002,6.3580000000000005,True
2975,68,86,-62.72,-1.12,0.053,0.037,0.003,10.090999999999996,18.062,4.409000000000004,7.157999999999998,True
2976,68,87,-62.65,-0.84,0.064,0.046,0.005,8.001,18.091999999999995,4.669000000000002,7.967999999999993,True
2977,68,88,-64.4,-0.49,0.075,0.048,0.005,9.821000000000007,17.822000000000006,5.179,8.547999999999998,True
2978,68,89,-63.87,-0.18,0.083,0.048,0.0,7.5409999999999915,17.362,5.169000000000002,9.038,True
2979,68,90,-65.33,0.03,0.093,0.05,0.0,9.531,17.071999999999992,5.679,9.528000000000002,True
2980,68,91,-64.62,0.13,0.1,0.048,-0.005,7.361000000000006,16.892000000000007,5.679,9.98800000000001,True
2981,68,92,-65.85,0.15,0.109,0.048,-0.004,9.30099999999999,16.661999999999995,6.15899999999999,10.537999999999993,True
2982,68,93,-64.88,0.12,0.116,0.048,-0.011,7.101000000000001,16.40199999999999,6.179,10.987999999999996,True
2983,68,94,-65.89,-0.04,0.123,0.045,-0.014,9.081000000000005,16.182000000000006,6.648999999999999,11.567999999999994,True
2984,68,95,-64.68,-0.21,0.129,0.041,-0.017,6.861000000000006,15.94200000000001,6.709000000000001,12.12800000000001,True
2985,68,96,-65.37,-0.44,0.135,0.038,-0.023,8.760999999999997,15.622000000000003,7.228999999999997,12.668000000000003,True
2986,68,97,-63.84,-0.65,0.143,0.04,-0.02,6.540999999999999,15.301999999999996,7.2490000000000006,13.218,True
2987,68,98,-64.16,-0.88,0.147,0.032,-0.03,8.390999999999993,14.931999999999992,7.718999999999999,13.687999999999999,True
2988,68,99,-62.34,-1.16,0.154,0.032,-0.028,6.2510000000000066,14.642,7.7290000000000045,14.218,True
2989,68,100,-62.35,-1.44,0.159,0.027,-0.029,8.080999999999998,14.332000000000004,8.249,14.758,True
2990,68,101,-60.17,-1.7,0.162,0.022,-0.03,5.891,13.971999999999998,8.219,15.227999999999998,True
